% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=867434, Mon Nov  1 10:28:43 2021, <python>{}</python>
125 1250 0.032831273819512355 0 0 0.010114802868069688 0.029816362374327346 0.042567830443519215 0.028229691108255444 0.08989693667300835 0.023333256198015455 0.033470828218894175 0.002634208671916914 0.057635238422266144
126 1260 0.031110884304813083 0 0 0.009503221997536926 0.02880924942664126 0.0395133828171008 0.026928760719112255 0.08579862084753202 0.02180305506929041 0.03145663406096279 0.0023756127206578446 0.05406070383140594
127 1270 0.028027512826689464 0 0 0.008257623846768085 0.02641192491437808 0.0367454117618896 0.02423247560178985 0.07596697444251782 0.01906988643852878 0.028059372568591576 0.0020871416658315035 0.049305539709422086
128 1280 0.02586445076595589 0 0 0.007438424507960161 0.024060843563561373 0.03459065177836342 0.02209495944362169 0.06831376296070626 0.01738433373222159 0.025232225264226006 0.001954633878673757 0.042589414025579836
129 1290 0.02485305477217983 0 0 0.007009005860217123 0.022780426593224604 0.03471702640303935 0.020591187301699003 0.06412684563094692 0.01636471649700516 0.023984360355370236 0.0019104741955815097 0.040607988613527955
130 1300 0.02197897476646382 0 0 0.0061691596962682085 0.020092092492892788 0.030389830993379264 0.01786736256816019 0.05569310299447785 0.014241374630405824 0.020980628505462135 0.0015719308543069585 0.03598991861322723
131 1310 0.02114170291683343 0 0 0.005899735160954197 0.019120245986274216 0.029081615048186463 0.017313997416814143 0.05355058924524516 0.013637678780784104 0.02035648973789016 0.0015021687496839312 0.034363008341151254
132 1320 0.019639862733402208 0 0 0.005566193175912626 0.017600121867950003 0.0276110679630165 0.016022139152852582 0.048827568797113446 0.012863583241220064 0.018948132141708932 0.0013606396080263982 0.031958452365764535
133 1330 0.01978898176709021 0 0 0.005505667958437845 0.017610907701490163 0.02718849305425592 0.015984565580807745 0.04936692297352953 0.01274732812999468 0.018523366845460146 0.0013735004293826002 0.032386023111823946
134 1340 0.017533427596551483 0 0 0.004766782573980497 0.01572104107797006 0.024085893957993987 0.014062362059457094 0.043370442421468716 0.010927131220838032 0.016271507439413097 0.0012098938910953 0.028628618292736725
135 1350 0.016379835391104623 0 0 0.004189509079340894 0.01455396498893572 0.02274859346600766 0.01257365475407371 0.03977499246815819 0.009611883056624363 0.015116266032619565 0.0010614478759302503 0.026446509404595735
136 1360 0.015367608500995066 0 0 0.0039050163180990335 0.013587465096262135 0.021305756055429628 0.01180802014358851 0.03698167183096222 0.008952039057339075 0.01389401344444531 0.0009512649885712708 0.02431136565279391
137 1370 0.014258135976690811 0 0 0.0035950043292892627 0.01265673807590104 0.019740328687592658 0.010953319907635416 0.03416578059963748 0.008314827090053907 0.012966142473836418 0.0008737447077681661 0.021705878027764042
138 1380 0.01354636829655374 0 0 0.0033565073137499174 0.01219354366039319 0.019420389547698754 0.010387955467188494 0.03199882179985738 0.007889001275816059 0.012395346696626541 0.0008225727903259292 0.02039066698165028
139 1390 0.01286204687787431 0 0 0.0030759475402058483 0.01164452941911967 0.018255948064258426 0.009864266035810162 0.03082064359871866 0.007166894160401856 0.01168483310836 0.0007775539174059654 0.018302641741808016
